Dataset,Gap,Method,NSE,R2,RMSE,MAE,Sim,Time (s),Group
ETTh2,3D,MICE-LGBM,0.8535268811330919,0.8535268811330756,2.8017413763584753,1.7081223620335382,0.9733100772657536,4.80267333984375,ETT
ETTh2,3D,MLBII-Ridge,0.8534255737058382,0.8534255737058183,2.783559793335961,2.0486051793846305,0.9687669903855616,2.5038955211639404,ETT
ETTh2,3D,MLBII-LGBM,0.9241386749917327,0.9241386749917176,1.8864529725433095,1.1748402120754389,0.9803404900692374,27.42727518081665,ETT
ETTh2,5D,MICE-Ridge,0.46600482301555296,0.46600482301548485,5.378030550334157,3.694718081667701,0.9474340682259547,0.295060396194458,ETT
ETTh2,5D,MICE-LGBM,0.7381984601628548,0.7381984601628349,3.980080497330996,2.316830442213156,0.9677940140108303,4.969176769256592,ETT
ETTh2,5D,MLBII-Ridge,0.7503549414159633,0.7503549414159363,3.676317264296142,2.5617018173164925,0.9618205110998479,2.3416805267333984,ETT
ETTh2,5D,MLBII-LGBM,0.8519885297503198,0.8519885297503065,3.014309276374845,1.6992600275167244,0.9742446744745142,27.275959491729736,ETT
ETTh2,7D,MICE-Ridge,0.28543032411050107,0.28543032411036057,5.016604939834144,3.5707053103903483,0.9497253013996255,0.29561471939086914,ETT
ETTh2,7D,MICE-LGBM,0.7392278900177861,0.7392278900177681,4.663952073677501,2.4262990567516884,0.9684972104723967,4.8008105754852295,ETT
ETTh2,7D,MLBII-Ridge,0.7825361257899266,0.782536125789913,4.256431706947724,2.6753190198731325,0.9632740118407394,2.322829484939575,ETT
ETTh2,7D,MLBII-LGBM,0.8497254449761895,0.8497254449761813,3.7540030056516476,1.8289621034885872,0.9750736462006973,26.87524437904358,ETT
ETTm1,1D,MICE-Ridge,0.7777635099816449,0.7777635099815455,1.816703387460272,1.3308739754611196,0.9625898753021015,0.9104530811309814,ETT
ETTm1,1D,MICE-LGBM,0.8429842378609631,0.8429842378609037,1.4173806427525482,1.0871929723283622,0.9703258466823497,10.147473812103271,ETT
ETTm1,1D,MLBII-Ridge,0.5444044551834502,0.5444044551832553,2.4065873660881016,1.5788699561143342,0.9538375409023105,8.346770524978638,ETT
ETTm1,1D,MLBII-LGBM,0.8924436116544024,0.8924436116542847,0.6483990987918471,0.4646159891796353,0.9776731638732284,67.0012092590332,ETT
ETTm1,3D,MICE-Ridge,0.7801913156986938,0.7801913156986517,1.8969321689897147,1.5206620510884807,0.9596028841953543,0.8692293167114258,ETT
ETTm1,3D,MICE-LGBM,0.8612550530567448,0.8612550530567186,1.534749557744091,1.0905942369012716,0.96942950151523,9.812349796295166,ETT
ETTm1,3D,MLBII-Ridge,0.42388522860383837,0.42388522860376554,2.9775309612620346,1.9918644410797681,0.9470753180181498,8.04160189628601,ETT
ETTm1,3D,MLBII-LGBM,0.8555906505755273,0.8555906505754827,0.9908078492231495,0.6427886706827357,0.974231044009748,66.75900888442993,ETT
ETTm1,5D,MICE-Ridge,0.7380595062537001,0.7380595062536627,1.700198455036833,1.2715506867273043,0.9614908338313969,0.9009737968444824,ETT
ETTm1,5D,MICE-LGBM,0.836744168069126,0.8367441680691046,1.3563893887289749,0.9196961119310335,0.9708845164547955,10.084172487258911,ETT
ETTm1,5D,MLBII-Ridge,0.37973274816672326,0.3797327481666791,2.9414146595573283,2.055660463558136,0.9432913571134505,7.889241456985474,ETT
ETTm1,5D,MLBII-LGBM,0.8404635594565008,0.8404635594564712,1.0406012583399398,0.6639376963446184,0.9718417962843909,65.61577033996582,ETT
ETTm1,7D,MICE-Ridge,0.7421500918226099,0.7421500918225951,2.0655423215296627,1.4351611473116297,0.9606296272449921,0.8553144931793213,ETT
ETTm1,7D,MICE-LGBM,0.8340639496137235,0.8340639496137107,1.5215865931312287,1.0344047347949952,0.9687686022170896,10.047966241836548,ETT
ETTm1,7D,MLBII-Ridge,0.45274840511909203,0.4527484051190656,2.9269923950797536,2.0326063625883206,0.9405212162626974,7.7795727252960205,ETT
ETTm1,7D,MLBII-LGBM,0.8276921132174963,0.8276921132174783,1.3146280398318866,0.781528593431586,0.9696334534510986,63.798460245132446,ETT
ETTm2,1D,MICE-Ridge,0.6587801690659105,0.6587801690659056,5.289749123774712,3.4694115033545145,0.949554369720157,0.8922545909881592,ETT
ETTm2,1D,MICE-LGBM,0.8430741307058242,0.8430741307058228,3.4410005863795843,1.7675735536868973,0.9754885821345175,10.017635583877563,ETT
ETTm2,1D,MLBII-Ridge,0.9205601324074336,0.9205601324074311,2.056237862613113,1.5424639827713287,0.9760459014305436,8.126533031463623,ETT
ETTm2,1D,MLBII-LGBM,0.9059091445767403,0.905909144576739,2.4487727445557104,1.3037781067276915,0.9784010901370327,68.8550078868866,ETT
ETTm2,3D,MICE-Ridge,0.412094430650318,0.412094430650288,5.118226553188102,3.535445780538399,0.9468274020386289,0.8767907619476318,ETT
ETTm2,3D,MICE-LGBM,0.860788157163282,0.8607881571632786,2.7735125080932677,1.6749566669394587,0.9740743009712244,9.91869306564331,ETT
ETTm2,3D,MLBII-Ridge,0.8332294636059611,0.833229463605955,2.9121634279444817,2.2028567171496234,0.9672917056088942,8.01438593864441,ETT
ETTm2,3D,MLBII-LGBM,0.8923502377835799,0.8923502377835754,2.282630352200944,1.4196170637522625,0.9774807907456682,67.86766719818115,ETT
ETTm2,5D,MICE-Ridge,0.46297290526040097,0.4629729052603841,5.4365845059912,3.7172517754628087,0.9479314897402941,0.8724465370178223,ETT
ETTm2,5D,MICE-LGBM,0.7359586663602009,0.7359586663601954,3.964718210752861,2.283652042397508,0.9685096966448917,10.059378147125244,ETT
ETTm2,5D,MLBII-Ridge,0.7344558551653261,0.7344558551653195,3.812225002955998,2.704143460577425,0.9605439280122565,7.958640813827515,ETT
ETTm2,5D,MLBII-LGBM,0.8197118464291803,0.819711846429176,3.335196722858758,2.026392470383308,0.970232228137884,66.07163214683533,ETT
ETTm2,7D,MICE-Ridge,0.25939203329276245,0.2593920332927254,5.05155750947535,3.5886717202174054,0.9501915433356681,0.8368542194366455,ETT
ETTm2,7D,MICE-LGBM,0.6746988519641747,0.6746988519641653,4.682397632664829,2.3916231403417862,0.9691301110388337,9.978064775466919,ETT
ETTm2,7D,MLBII-Ridge,0.7645489274215912,0.7645489274215881,4.491022777626904,2.8683161276238898,0.9618708056306996,7.74713659286499,ETT
ETTm2,7D,MLBII-LGBM,0.8155267081880034,0.8155267081880009,4.152115104229189,2.317654367084653,0.969615019678711,64.95407199859619,ETT
